Publisher,Number of journal (English-only),Target journal,System
ELSEVIER,1147,MICROELECTRONICS RELIABILITY,Editorial Manager
SPRINGER,1019,EUROPEAN JOURNAL OF TRAUMA AND EMERGENCY SURGERY,Editorial Manager
WILEY,899,GENESIS,ScholarOne Manuscripts
TAYLOR & FRANCIS,585,APPLIED ARTIFICIAL INTELLIGENCE,Editorial Manager
SAGE,248,NURSING SCIENCE QUARTERLY,ScholarOne Manuscripts
LIPPINCOTT WILLIAMS & WILKINS,206,AMERICAN JOURNAL OF SURGICAL PATHOLOGY,Editorial Manager
OXFORD UNIV PRESS,204,QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,ScholarOne Manuscripts
BMC,202,ALZHEIMERS RESEARCH & THERAPY,Editorial Manager
IEEE,162,IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,ScholarOne Manuscripts
CAMBRIDGE UNIV PRESS,98,ANZIAM JOURNAL,Open Journal Systems
